Serviceeinrichtung";"Stationspreis SPFV - Anteil
Serviceeinrichtung";Bemerkung
1847;VMS;Frankenstein (Sachs);6;Sachsen;3,63 €;9,66 €;
1848;ZÖPNV Süd;Frankenthal Hbf;3;Rheinland-Pfalz;3,96 €;10,57 €;
8210;ZÖPNV Süd;Frankenthal Süd;4;Rheinland-Pfalz;2,84 €;7,40 €;
1849;RMV;Frankfurt (Main) Flughafen Regionalbahnhof;3;Hessen;4,14 €;10,93 €;
1863;RMV;Frankfurt (Main) Galluswarte;4;Hessen;2,78 €;6,42 €;
1864;RMV;Frankfurt (Main) Hauptwache;3;Hessen;4,14 €;10,93 €;
1866;RMV;Frankfurt (Main) Hbf;1;Hessen;27,30 €;72,84 €;
1865;RMV;Frankfurt (Main) Konstablerwache;3;Hessen;4,14 €;10,93 €;
1850;RMV;Frankfurt (Main) Lokalbahnhof;4;Hessen;2,78 €;6,42 €;
1851;RMV;Frankfurt (Main) Mühlberg;4;Hessen;2,78 €;6,42 €;
1876;RMV;Frankfurt (Main) Niederrad;3;Hessen;4,14 €;10,93 €;
1852;RMV;Frankfurt (Main) Ost;5;Hessen;2,40 €;6,30 €;
1853;RMV;Frankfurt (Main) Ostendstraße;3;Hessen;4,14 €;10,93 €;
1855;RMV;Frankfurt (Main) Stresemannallee;4;Hessen;2,78 €;6,42 €;
1856;RMV;Frankfurt (Main) Süd;2;Hessen;12,33 €;32,56 €;
1857;RMV;Frankfurt (Main) Taunusanlage;3;Hessen;4,14 €;10,93 €;
1858;RMV;Frankfurt (Main) West;3;Hessen;4,14 €;10,93 €;
1859;VBB;Frankfurt (Oder);2;Brandenburg;36,93 €;96,78 €;
7748;VBB;Frankfurt (Oder)-Neuberesinchen;7;Brandenburg;3,21 €;8,56 €;
1862;VBB;Frankfurt (Oder)-Rosengarten;6;Brandenburg;3,98 €;10,22 €;
7982;RMV;Frankfurt am Main Flughafen Fernbahnhof;3;Hessen;4,14 €;10,93 €;
8268;RMV;Frankfurt am Main Gateway Gardens;4;Hessen;2,78 €;6,42 €;
7980;RMV;Frankfurt am Main Messe;4;Hessen;2,78 €;6,42 €;
1854;RMV;Frankfurt am Main Stadion;3;Hessen;4,14 €;10,93 €;
8320;RMV;Frankfurt am Main-Ginnheim;4;Hessen;2,78 €;6,42 €;
1867;RMV;Frankfurt-Berkersheim;5;Hessen;2,40 €;6,30 €;
1868;RMV;Frankfurt-Eschersheim;5;Hessen;2,40 €;6,30 €;
1869;RMV;Frankfurt-Frankfurter Berg;4;Hessen;2,78 €;6,42 €;
1871;RMV;Frankfurt-Griesheim;4;Hessen;2,78 €;6,42 €;
1872;RMV;Frankfurt-Höchst;3;Hessen;4,14 €;10,93 €;
1763;RMV;Frankfurt-Höchst Farbwerke;5;Hessen;2,40 €;6,30 €;
1873;RMV;Frankfurt-Louisa;4;Hessen;2,78 €;6,42 €;
1874;RMV;Frankfurt-Mainkur;5;Hessen;2,40 €;6,30 €;
1875;RMV;Frankfurt-Nied;5;Hessen;2,40 €;6,30 €;
1877;RMV;Frankfurt-Rödelheim;3;Hessen;4,14 €;10,93 €;
1878;RMV;Frankfurt-Sindlingen;5;Hessen;2,40 €;6,30 €;
1879;RMV;Frankfurt-Sossenheim;6;Hessen;2,48 €;6,52 €;
8058;RMV;Frankfurt-Zeilsheim;5;Hessen;2,40 €;6,30 €;
1880;NASA;Frankleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
1881;BEG;Frauenau;7;Bayern;2,13 €;5,65 €;
1884;VVO;Frauenhain;6;Sachsen;2,85 €;7,61 €;
2306;go.R;Frechen-Königsdorf;5;Nordrhein-Westfalen;2,69 €;7,09 €;
1885;NASA;Freckleben;7;Sachsen-Anhalt;2,77 €;7,39 €;
1886;LNVG;Freden (Leine);6;Niedersachsen;4,23 €;10,34 €;
1889;VBB;Fredersdorf (b Berlin);5;Brandenburg;3,44 €;9,13 €;
1890;VRStutt;Freiberg (Neckar);5;Baden-Württemberg;2,09 €;5,58 €;
1891;VMS;Freiberg (Sachs);4;Sachsen;4,68 €;12,48 €;
1893;VM BW;Freiburg (Breisgau) Hbf;2;Baden-Württemberg;15,35 €;40,77 €;
7992;VM BW;Freiburg Messe/Universität;6;Baden-Württemberg;2,35 €;6,18 €;
1896;VM BW;Freiburg-Herdern;5;Baden-Württemberg;2,91 €;7,35 €;
1894;VM BW;Freiburg-Klinikum;6;Baden-Württemberg;2,35 €;6,18 €;
1895;VM BW;Freiburg-Landwasser;6;Baden-Württemberg;2,35 €;6,18 €;Name alt: Freiburg West
1897;VM BW;Freiburg-Littenweiler;6;Baden-Württemberg;2,35 €;6,18 €;
1898;VM BW;Freiburg-St Georgen;6;Baden-Württemberg;2,35 €;6,18 €;
1899;VM BW;Freiburg-Wiehre;5;Baden-Württemberg;2,91 €;7,35 €;
1900;VM BW;Freiburg-Zähringen;6;Baden-Württemberg;2,35 €;6,18 €;
1902;TLBV;Freienorla;7;Thüringen;2,70 €;7,22 €;
1903;BEG;Freihalden;6;Bayern;2,89 €;7,59 €;
1904;BEG;Freihöls;7;Bayern;2,13 €;5,65 €;
1905;BEG;Freihung;6;Bayern;2,89 €;7,59 €;
1906;BEG;Freilassing;3;Bayern;4,75 €;12,53 €;
8245;BEG;Freilassing-Hofham;6;Bayern;2,89 €;7,59 €;
1907;ZÖPNV Süd;Freinsheim;4;Rheinland-Pfalz;2,84 €;7,40 €;
1908;BEG;Freising;3;Bayern;4,75 €;12,53 €;
1911;VVO;Freital-Deuben;5;Sachsen;2,08 €;5,53 €;
1912;VVO;Freital-Hainsberg;5;Sachsen;2,08 €;5,53 €;
1913;VVO;Freital-Hainsberg West;6;Sachsen;2,85 €;7,61 €;
1914;VVO;Freital-Potschappel;5;Sachsen;2,08 €;5,53 €;
1915;RVB;Frellstedt;6;Niedersachsen;4,87 €;10,77 €;
1916;ZPS;Fremersdorf;6;Saarland;1,54 €;4,04 €;
1917;NASA;Frenz;6;Sachsen-Anhalt;3,34 €;8,90 €;
1918;NAH.SH;Fresenburg;7;Schleswig-Holstein;2,21 €;5,91 €;
1919;VBB;Fretzdorf;7;Brandenburg;3,21 €;8,56 €;
1921;VM BW;Freudenstadt Hbf;5;Baden-Württemberg;2,91 €;7,35 €;
1923;ZVRP Nord;Freusburg Siedlung;6;Rheinland-Pfalz;2,27 €;5,85 €;
1924;NASA;Freyburg (Unstrut);7;Sachsen-Anhalt;2,77 €;7,39 €;
1926;RMV;Frickhofen;6;Hessen;2,48 €;6,52 €;
1927;VM BW;Fridingen (b Tuttlingen);6;Baden-Württemberg;2,35 €;6,18 €;
1929;BEG;Friedberg (b Augsburg);5;Bayern;2,72 €;7,01 €;
1930;RMV;Friedberg (Hess);3;Hessen;4,14 €;10,93 €;
1870;RMV;Friedberg Süd;7;Hessen;1,88 €;4,96 €;
1931;RMV;Friedelhausen;6;Hessen;2,48 €;6,52 €;
1932;VBB Berlin;Friedenau;4;Berlin;2,00 €;5,33 €;
1934;VBB;Friedersdorf (b Königs Wusterhausen);6;Brandenburg;3,98 €;10,22 €;
1937;LNVG;Friedland (Han);6;Niedersachsen;4,23 €;10,34 €;
1939;go.R;Friedrich Wilhelmshütte;6;Nordrhein-Westfalen;3,77 €;8,76 €;
1940;TLBV;Friedrichroda;7;Thüringen;2,70 €;7,22 €;
1941;BWVI;Friedrichsberg;4;Hamburg;2,79 €;6,93 €;
1942;RMV;Friedrichsdorf (Taunus);4;Hessen;2,78 €;6,42 €;
1943;VRR;Friedrichsfeld (Niederrhein);5;Nordrhein-Westfalen;2,32 €;5,93 €;
1944;VBB Berlin;Friedrichsfelde Ost;4;Berlin;2,00 €;5,33 €;
5987;VM BW;Friedrichshafen Flughafen;5;Baden-Württemberg;2,91 €;7,35 €;
1945;VM BW;Friedrichshafen Hafen;5;Baden-Württemberg;2,91 €;7,35 €;
2718;VM BW;Friedrichshafen Landratsamt;7;Baden-Württemberg;1,90 €;5,07 €;
6456;VM BW;Friedrichshafen Manzell;6;Baden-Württemberg;2,35 €;6,18 €;
1946;VM BW;Friedrichshafen Ost;6;Baden-Württemberg;2,35 €;6,18 €;
1947;VM BW;Friedrichshafen Stadt;3;Baden-Württemberg;5,29 €;13,61 €;
7435;VM BW;Friedrichshafen-Fischbach;7;Baden-Württemberg;1,90 €;5,07 €;
7430;VM BW;Friedrichshafen-Kluftern;7;Baden-Württemberg;1,90 €;5,07 €;
1951;VMV;Friedrichsruhe (Meckl);7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
1952;ZVRP Nord;Friedrichssegen;6;Rheinland-Pfalz;2,27 €;5,85 €;
1953;NAH.SH;Friedrichstadt;5;Schleswig-Holstein;3,75 €;9,91 €;
1954;VM BW;Friedrichstal (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
1956;ZPS;Friedrichsthal (Saar);6;Saarland;1,54 €;4,04 €;
7157;ZPS;Friedrichsthal Mitte;6;Saarland;1,54 €;4,04 €;
1959;VBB;Friesack (Mark);6;Brandenburg;3,98 €;10,22 €;
1960;NASA;Friesdorf;7;Sachsen-Anhalt;2,77 €;7,39 €;
1961;NASA;Friesdorf Ost;7;Sachsen-Anhalt;2,77 €;7,39 €;
1962;VM BW;Friesenheim (Baden);6;Baden-Württemberg;2,35 €;6,18 €;
1963;VRR;Frimmersdorf;6;Nordrhein-Westfalen;2,76 €;7,00 €;
1965;ZVNL;Frohburg;6;Sachsen;2,56 €;6,83 €;
1968;VM BW;Frommern;6;Baden-Württemberg;2,35 €;6,18 €;
1969;NWL;Fröndenberg;3;Nordrhein-Westfalen;7,97 €;17,74 €;
1967;NWL;Fröndenberg-Frömern;7;Nordrhein-Westfalen;2,48 €;6,41 €;Name alt: Frömern
1970;RMV;Fronhausen (Lahn);6;Hessen;2,48 €;6,52 €;
1971;NASA;Frose;6;Sachsen-Anhalt;3,34 €;8,90 €;
1972;TLBV;Fröttstädt;5;Thüringen;3,74 €;9,97 €;
1973;RMV;Fulda;2;Hessen;12,33 €;32,56 €;
2970;NVV;Fuldatal-Ihringshausen;6;Hessen;2,73 €;7,26 €;
1974;RMV;Fürfurt;6;Hessen;2,48 €;6,52 €;
1975;VBB;Fürstenberg (Havel);5;Brandenburg;3,44 €;9,13 €;
1977;BEG;Fürstenfeldbruck;4;Bayern;3,19 €;7,89 €;
1980;VBB;Fürstenwalde (Spree);4;Brandenburg;5,17 €;13,68 €;
1981;VBB;Fürstenwalde (Spree) Süd;7;Brandenburg;3,21 €;8,56 €;
1983;BEG;Furth (b Deisenhofen);5;Bayern;2,72 €;7,01 €;
1984;BEG;Fürth (Bay) Hbf;2;Bayern;13,72 €;36,53 €;
1985;VRN;Fürth (Odenw);6;Hessen;2,31 €;6,13 €;
1986;BEG;Furth im Wald;5;Bayern;2,72 €;7,01 €;
1987;BEG;Fürth Westvorstadt;6;Bayern;2,89 €;7,59 €;
1988;BEG;Fürth-Burgfarrnbach;5;Bayern;2,72 €;7,01 €;
1989;BEG;Fürth-Dambach;6;Bayern;2,89 €;7,59 €;
1990;BEG;Fürth-Klinikum;6;Bayern;2,89 €;7,59 €;Name alt: Fürth-Unterfarrnbach
1991;BEG;Fürth-Unterfürberg;6;Bayern;2,89 €;7,59 €;
1992;BEG;Füssen;6;Bayern;2,89 €;7,59 €;
1993;BEG;Gablingen;5;Bayern;2,72 €;7,01 €;
1994;VMV;Gadebusch;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
1998;VM BW;Gaildorf West;6;Baden-Württemberg;2,35 €;6,18 €;
2000;BEG;Gaimersheim;6;Bayern;2,89 €;7,59 €;
2001;BEG;Gaißach;6;Bayern;2,89 €;7,59 €;
7862;ZÖPNV Süd;Galgenschanze;6;Rheinland-Pfalz;1,99 €;5,22 €;
2005;LNVG;Ganderkesee;6;Niedersachsen;4,23 €;10,34 €;
2006;TLBV;Gangloffsömmern;7;Thüringen;2,70 €;7,22 €;
2008;NWL;Garbeck;7;Nordrhein-Westfalen;2,48 €;6,41 €;
2009;RMV;Garbenteich;6;Hessen;2,48 €;6,52 €;
2011;NASA;Gardelegen;6;Sachsen-Anhalt;3,34 €;8,90 €;
2012;NAH.SH;Garding;7;Schleswig-Holstein;2,21 €;5,91 €;
2014;BEG;Garmisch-Partenkirchen;3;Bayern;4,75 €;12,53 €;
2016;VRStutt;Gärtringen;5;Baden-Württemberg;2,09 €;5,58 €;
2018;NASA;Gatersleben;7;Sachsen-Anhalt;2,77 €;7,39 €;
2019;ZÖPNV Süd;Gau Algesheim;4;Rheinland-Pfalz;2,84 €;7,40 €;
2020;ZÖPNV Süd;Gau Bickelheim;7;Rheinland-Pfalz;1,49 €;4,01 €;
2021;VM BW;Gaubüttelbrunn;6;Baden-Württemberg;2,35 €;6,18 €;
2023;VM BW;Gäufelden;5;Baden-Württemberg;2,91 €;7,35 €;
2024;BEG;Gauting;4;Bayern;3,19 €;7,89 €;
2027;TLBV;Gebra (Hainleite);6;Thüringen;3,43 €;9,13 €;
2028;LNVG;Geeste;6;Niedersachsen;4,23 €;10,34 €;
2029;NASA;Geestgottberg;7;Sachsen-Anhalt;2,77 €;7,39 €;
2030;TLBV;Gehlberg;6;Thüringen;3,43 €;9,13 €;
2035;VBB Berlin;Gehrenseestraße;5;Berlin;1,96 €;5,19 €;
2036;BEG;Geigant;7;Bayern;2,13 €;5,65 €;
2037;go.R;Geilenkirchen;5;Nordrhein-Westfalen;2,69 €;7,09 €;
2038;go.R;Geilhausen;7;Nordrhein-Westfalen;3,48 €;5,28 €;
2039;BEG;Geiselhöring;6;Bayern;2,89 €;7,59 €;
2040;BEG;Geisenbrunn;5;Bayern;2,72 €;7,01 €;
2042;RMV;Geisenheim;5;Hessen;2,40 €;6,30 €;
2043;VVO;Geising;7;Sachsen;2,46 €;6,58 €;
2044;VM BW;Geisingen;6;Baden-Württemberg;2,35 €;6,18 €;
2045;VM BW;Geislingen (Steige);4;Baden-Württemberg;3,92 €;10,18 €;
2046;VM BW;Geislingen West;6;Baden-Württemberg;2,35 €;6,18 €;
2047;BEG;Geitau;7;Bayern;2,13 €;5,65 €;
2048;ZVNL;Geithain;4;Sachsen;2,95 €;7,87 €;
2049;VMV;Gelbensande;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2050;VRR;Geldern;5;Nordrhein-Westfalen;2,32 €;5,93 €;
2051;RMV;Gelnhausen;4;Hessen;2,78 €;6,42 €;
2052;VRR;Gelsenkirchen Hbf;2;Nordrhein-Westfalen;9,80 €;26,07 €;
2053;VRR;Gelsenkirchen Zoo;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2054;VRR;Gelsenkirchen-Buer Nord;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2055;VRR;Gelsenkirchen-Buer Süd;7;Nordrhein-Westfalen;2,87 €;7,64 €;
2056;VRR;Gelsenkirchen-Hassel;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2057;VRR;Gelsenkirchen-Rotthausen;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2058;BEG;Geltendorf;3;Bayern;4,75 €;12,53 €;
2060;BEG;Gemünden (Main);4;Bayern;3,19 €;7,89 €;
2061;BEG;Genderkingen;7;Bayern;2,13 €;5,65 €;
2062;VM BW;Gengenbach;4;Baden-Württemberg;3,92 €;10,18 €;
7158;ZPS;Gennweiler;6;Saarland;1,54 €;4,04 €;
2064;ZÖPNV Süd;Gensingen-Horrweiler;5;Rheinland-Pfalz;2,95 €;7,78 €;
2066;NASA;Genthin;4;Sachsen-Anhalt;5,24 €;13,97 €;
2071;BEG;Georgensgmünd;4;Bayern;3,19 €;7,89 €;
2073;TLBV;Gera Hbf;3;Thüringen;9,93 €;26,53 €;
2075;TLBV;Gera Süd;5;Thüringen;3,74 €;9,97 €;
2082;TLBV;Geraberg;6;Thüringen;3,43 €;9,13 €;
2083;VRStutt;Geradstetten;5;Baden-Württemberg;2,09 €;5,58 €;
2077;TLBV;Gera-Langenberg;7;Thüringen;2,70 €;7,22 €;
2081;TLBV;Gera-Zwötzen;6;Thüringen;3,43 €;9,13 €;
2085;VM BW;Gerhausen;6;Baden-Württemberg;2,35 €;6,18 €;
2086;ZVNL;Gerichshain;6;Sachsen;2,56 €;6,83 €;
2088;VM BW;Gerlachsheim;6;Baden-Württemberg;2,35 €;6,18 €;
2089;BEG;Gerlenhofen;6;Bayern;2,89 €;7,59 €;
2091;BEG;Germering-Unterpfaffenhofen;3;Bayern;4,75 €;12,53 €;
2092;ZÖPNV Süd;Germersheim;5;Rheinland-Pfalz;2,95 €;7,78 €;
8244;ZÖPNV Süd;Germersheim Mitte/Rhein;5;Rheinland-Pfalz;2,95 €;7,78 €;
8206;ZÖPNV Süd;Germersheim Süd/Nolte;6;Rheinland-Pfalz;1,99 €;5,22 €;
2094;BEG;Gernlinden;4;Bayern;3,19 €;7,89 €;
4515;TLBV;Gernrode-Niederorschel;6;Thüringen;3,43 €;9,13 €;
2097;RMV;Gernsheim;5;Hessen;2,40 €;6,30 €;
2098;BEG;Geroldshausen;6;Bayern;2,89 €;7,59 €;
2099;ZVRP Nord;Gerolstein;4;Rheinland-Pfalz;4,57 €;11,36 €;
2101;ZVON;Gersdorf (b Görlitz);6;Sachsen;3,28 €;8,70 €;
2102;RMV;Gersfeld (Rhön);6;Hessen;2,48 €;6,52 €;
2104;BEG;Gersthofen;6;Bayern;2,89 €;7,59 €;
2105;TLBV;Gerstungen;6;Thüringen;3,43 €;9,13 €;
2107;NVV;Gertenbach;6;Hessen;2,73 €;7,26 €;
2108;NASA;Gerwisch;6;Sachsen-Anhalt;3,34 €;8,90 €;
2109;NWL;Geseke;5;Nordrhein-Westfalen;3,91 €;9,89 €;
2110;BEG;Gessertshausen;5;Bayern;2,72 €;7,01 €;
2111;RMV;Gettenau-Bingenheim;6;Hessen;2,48 €;6,52 €;
2112;NAH.SH;Gettorf;6;Schleswig-Holstein;3,53 €;9,43 €;
2113;VRR;Gevelsberg Hbf;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2114;VRR;Gevelsberg West;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2115;VRR;Gevelsberg-Kipp;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2116;VRR;Gevelsberg-Knapp;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2118;VM BW;Giengen (Brenz);5;Baden-Württemberg;2,91 €;7,35 €;
2119;NASA;Giersleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
2120;RMV;Gießen;2;Hessen;12,33 €;32,56 €;
1627;RMV;Gießen Erdkauter Weg;6;Hessen;2,48 €;6,52 €;
2121;RMV;Gießen Licher Straße;6;Hessen;2,48 €;6,52 €;
7968;RMV;Gießen Oswaldsgarten;5;Hessen;2,40 €;6,30 €;
2122;RVB;Gifhorn;4;Niedersachsen;9,96 €;26,55 €;
2123;RVB;Gifhorn-Stadt;6;Niedersachsen;4,87 €;10,77 €;
2124;BEG;Gilching-Argelsried;5;Bayern;2,72 €;7,01 €;
2126;VM BW;Gingen (Fils);6;Baden-Württemberg;2,35 €;6,18 €;
2128;ZVRP Nord;Girod;7;Rheinland-Pfalz;2,00 €;4,62 €;
2129;LNVG;Gittelde;7;Niedersachsen;2,85 €;7,60 €;
2132;VRR;Gladbeck Ost;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2133;VRR;Gladbeck West;4;Nordrhein-Westfalen;2,49 €;6,29 €;
2134;VRR;Gladbeck-Zweckel;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2136;ZÖPNV Süd;Glan-Münchweiler;6;Rheinland-Pfalz;1,99 €;5,22 €;
2139;VVO;Glashütte (Sachs);6;Sachsen;2,85 €;7,61 €;
2141;VVO;Glaubitz (b Riesa);6;Sachsen;2,85 €;7,61 €;
2140;RMV;Glauburg-Glauberg;6;Hessen;2,48 €;6,52 €;
6033;RMV;Glauburg-Stockheim;5;Hessen;2,40 €;6,30 €;
2142;VMS;Glauchau (Sachs);3;Sachsen;15,88 €;42,39 €;
2143;VMS;Glauchau-Schönbörnchen;6;Sachsen;3,63 €;9,66 €;
2145;go.R;Glesch;6;Nordrhein-Westfalen;3,77 €;8,76 €;
2148;VBB;Glöwen;6;Brandenburg;3,98 €;10,22 €;
2149;TLBV;Glückauf;7;Thüringen;2,70 €;7,22 €;
2151;NAH.SH;Glückstadt;5;Schleswig-Holstein;3,75 €;9,91 €;
2152;NASA;Gnadau;6;Sachsen-Anhalt;3,34 €;8,90 €;
2153;VMV;Gnevkow;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2158;RMV;Göbelnrod;7;Hessen;1,88 €;4,96 €;
2159;VRR;Goch;6;Nordrhein-Westfalen;2,76 €;7,00 €;
2163;ZÖPNV Süd;Godramstein;6;Rheinland-Pfalz;1,99 €;5,22 €;
2164;LNVG;Göhrde;7;Niedersachsen;2,85 €;7,60 €;
2168;NAH.SH;Gokels;7;Schleswig-Holstein;2,21 €;5,91 €;
2170;NASA;Goldbeck (Kr Osterburg);6;Sachsen-Anhalt;3,34 €;8,90 €;
2171;VRStutt;Goldberg;5;Baden-Württemberg;2,09 €;5,58 €;
2173;LNVG;Goldenstedt (Oldb);7;Niedersachsen;2,85 €;7,60 €;
2174;ZVRP Nord;Goldhausen;6;Rheinland-Pfalz;2,27 €;5,85 €;
2175;VM BW;Goldshöfe;6;Baden-Württemberg;2,35 €;6,18 €;
2177;VBB;Gollmitz (Niederlausitz);7;Brandenburg;3,21 €;8,56 €;
2178;VBB;Golm;6;Brandenburg;3,98 €;10,22 €;
2180;VBB;Golßen (Niederlausitz);6;Brandenburg;3,98 €;10,22 €;
2182;VBB;Golzow (b Eberswalde);7;Brandenburg;3,21 €;8,56 €;
2185;VBB;Golzow (Oderbruch);6;Brandenburg;3,98 €;10,22 €;
2186;NASA;Gommern;6;Sachsen-Anhalt;3,34 €;8,90 €;
2189;VM BW;Göppingen;3;Baden-Württemberg;5,29 €;13,61 €;
2191;VBB;Görden;7;Brandenburg;3,21 €;8,56 €;
2192;VBB;Gorgast;6;Brandenburg;3,98 €;10,22 €;
2194;ZVON;Görlitz;3;Sachsen;32,20 €;85,92 €;
8019;ZVON;Görlitz-Rauschwalde;6;Sachsen;3,28 €;8,70 €;
2195;ZVON;Görlitz-Weinhübel;6;Sachsen;3,28 €;8,70 €;
2196;TLBV;Görsbach;6;Thüringen;3,43 €;9,13 €;
2200;BEG;Gosberg;7;Bayern;2,13 €;5,65 €;
2202;RVB;Goslar;3;Niedersachsen;3,91 €;10,43 €;
2203;VVO;Goßdorf-Kohlmühle;7;Sachsen;2,46 €;6,58 €;
2206;BEG;Goßmannsdorf;6;Bayern;2,89 €;7,59 €;
2207;TLBV;Gößnitz;4;Thüringen;5,03 €;13,40 €;
2209;TLBV;Gotha;3;Thüringen;9,93 €;26,53 €;
2210;TLBV;Gotha Ost;6;Thüringen;3,43 €;9,13 €;
2214;VM BW;Gottenheim;5;Baden-Württemberg;2,91 €;7,35 €;
2215;BEG;Gotteszell;6;Bayern;2,89 €;7,59 €;
2218;LNVG;Göttingen;2;Niedersachsen;22,77 €;59,22 €;
2219;VM BW;Gottmadingen;4;Baden-Württemberg;3,92 €;10,18 €;
2220;VBB;Götz;6;Brandenburg;3,98 €;10,22 €;
4812;VMV;Graal-Müritz;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
8141;VMV;Graal-Müritz-Koppelweg;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
8278;BEG;Graben (Lechfeld) Gewerbepark;6;Bayern;2,89 €;7,59 €;
2223;VM BW;Graben-Neudorf;3;Baden-Württemberg;5,29 €;13,61 €;
2224;VM BW;Graben-Neudorf Nord;6;Baden-Württemberg;2,35 €;6,18 €;
2225;VMV;Grabow (Meckl);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2227;BEG;Gräfelfing;4;Bayern;3,19 €;7,89 €;
2228;BEG;Grafenaschau;7;Bayern;2,13 €;5,65 €;
2229;BEG;Grafenau;7;Bayern;2,13 €;5,65 €;
2230;BEG;Gräfenberg;6;Bayern;2,89 €;7,59 €;
2231;BEG;Gräfendorf;6;Bayern;2,89 €;7,59 €;
2232;NASA;Gräfenhainichen;6;Sachsen-Anhalt;3,34 €;8,90 €;
2233;TLBV;Gräfenroda;6;Thüringen;3,43 €;9,13 €;
2235;NASA;Gräfenstuhl-Klippmühle;7;Sachsen-Anhalt;2,77 €;7,39 €;
2237;TLBV;Gräfentonna;7;Thüringen;2,70 €;7,22 €;
2240;BEG;Grafing Bahnhof;3;Bayern;4,75 €;12,53 €;
2241;BEG;Grafing Stadt;5;Bayern;2,72 €;7,01 €;
8253;BEG;Grafling-Arzting;7;Bayern;2,13 €;5,65 €;
2243;BEG;Grafrath;5;Bayern;2,72 €;7,01 €;
2244;VMV;Grambow;7;Mecklenburg-Vorpommern;3,47 €;9,27 €;
2246;VBB;Gransee;5;Brandenburg;3,44 €;9,13 €;
2249;RMV;Gräveneck;6;Hessen;2,48 €;6,52 €;
2250;NVV;Grebenstein;5;Hessen;1,98 €;5,13 €;
2252;VMV;Greifswald;4;Mecklenburg-Vorpommern;5,10 €;12,82 €;
2253;VMV;Greifswald Süd;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
529;VBB Berlin;Greifswalder Straße;4;Berlin;2,00 €;5,33 €;
2254;TLBV;Greiz;6;Thüringen;3,43 €;9,13 €;
2256;TLBV;Greiz-Dölau;6;Thüringen;3,43 €;9,13 €;
2257;VM BW;Grenzach;5;Baden-Württemberg;2,91 €;7,35 €;
2259;NASA;Greppin;6;Sachsen-Anhalt;3,34 €;8,90 €;
2261;TLBV;Greußen;6;Thüringen;3,43 €;9,13 €;
2262;NWL;Greven;3;Nordrhein-Westfalen;7,97 €;17,74 €;
2263;VRR;Grevenbroich;4;Nordrhein-Westfalen;2,49 €;6,29 €;
2265;VMV;Grevesmühlen;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2267;VMV;Grieben (Meckl);6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2269;NASA;Griebo;6;Sachsen-Anhalt;3,34 €;8,90 €;
2270;TLBV;Griefstedt;7;Thüringen;2,70 €;7,22 €;
2271;BEG;Griesen (Oberbay);7;Bayern;2,13 €;5,65 €;
2272;VM BW;Grießen (Baden);7;Baden-Württemberg;1,90 €;5,07 €;
2275;ZVNL;Grimma ob Bf;5;Sachsen;3,24 €;8,61 €;
2277;VMV;Grimmen;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2278;TLBV;Grimmenthal;6;Thüringen;3,43 €;9,13 €;
2280;ZVV;Grobau;7;Sachsen;3,28 €;8,76 €;
2281;BEG;Gröbenzell;4;Bayern;3,19 €;7,89 €;
2282;NASA;Gröbers;5;Sachsen-Anhalt;3,29 €;8,62 €;
2284;VVO;Gröditz (b Riesa);6;Sachsen;2,85 €;7,61 €;
2286;VM BW;Grombach;6;Baden-Württemberg;2,35 €;6,18 €;
2288;NWL;Gronau (Westf);5;Nordrhein-Westfalen;3,91 €;9,89 €;
2290;BEG;Gronsdorf;4;Bayern;3,19 €;7,89 €;
2291;NASA;Groß Ammensleben;6;Sachsen-Anhalt;3,34 €;8,90 €;
2295;VMV;Groß Brütz;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
2334;LNVG;Groß Düngen;6;Niedersachsen;4,23 €;10,34 €;Name alt: Großdüngen
2299;RMV;Groß Gerau;4;Hessen;2,78 €;6,42 €;
2300;RMV;Groß Gerau-Dornberg;3;Hessen;4,14 €;10,93 €;
1278;RMV;Groß Gerau-Dornheim;6;Hessen;2,48 €;6,52 €;
2303;RMV;Groß Karben;4;Hessen;2,78 €;6,42 €;
2304;VMV;Groß Kiesow;6;Mecklenburg-Vorpommern;4,20 €;11,06 €;
